Country,Latitude,Longitude,bcm,Year,MMscfd,Field  Type,Field Name,Field  Operator,state,Flare Level,flaring_vol_m3,carbon_emissions_ton,estimated_regulatory_fine_usd,operators_per_country,operator_global_rank,location_global_rank,previous_year_flare,yoy_percentage_change
Nigeria,5.5744,5.0587,0.003,2022,0.252,OIL,Okan,Chevron,OFFSHORE,Small,2.6,6240.0,9100.0,539,13,2,143452.57,-3.42
Nigeria,5.9683,4.9308,0.0,2020,0.0,OIL,Ojumole,Chevron,ONSHORE,Small,0.0,0.0,0.0,539,13,1,148435.46,-4.79
Nigeria,5.5596,5.0727,0.153,2022,14.781,OIL,Okan,Chevron,OFFSHORE,Medium,152.77,366648.0,534695.0,539,13,2,143452.57,-3.42
Nigeria,5.5381,5.0917,0.011,2022,1.02,OIL,Okan,Chevron,OFFSHORE,Small,10.54,25295.999999999996,36890.0,539,13,2,143452.57,-3.42
Nigeria,5.574,5.0589,0.017,2020,1.631,OIL,Okan,Chevron,OFFSHORE,Small,16.86,40464.0,59010.0,539,13,2,148435.46,-4.79
Nigeria,5.5594,5.0726,0.058,2020,5.629,OIL,Okan,Chevron,OFFSHORE,Medium,58.18,139632.0,203630.0,539,13,2,148435.46,-4.79
Nigeria,5.5376,5.092,0.018,2020,1.708,OIL,Okan,Chevron,OFFSHORE,Small,17.66,42384.0,61810.0,539,13,2,148435.46,-4.79
Nigeria,5.7091,5.3363,0.003,2020,0.251,OIL,Utonana,Chevron,OFFSHORE,Small,2.6,6240.0,9100.0,539,13,2,148435.46,-4.79
Nigeria,5.7838,5.4285,0.048,2019,4.608,OIL,Makaraba,Chevron,ONSHORE,Small,47.63,114312.0,166705.0,539,13,1,144763.09,2.54
Nigeria,5.5608,5.0724,0.224,2024,21.673,OIL,Okan,Chevron,OFFSHORE,Medium,224.0,537600.0,784000.0,539,13,2,147624.76,2.29
Nigeria,5.7754,4.89,0.09894,2024,9.573,OIL,Meren,Chevron,OFFSHORE,Medium,98.94,237456.0,346290.0,539,13,2,147624.76,2.29
Nigeria,5.4373,5.1412,0.12855,2024,12.438,OIL,Meji,Chevron,OFFSHORE,Medium,128.55,308520.0,449925.00000000006,539,13,2,147624.76,2.29
Nigeria,5.4358,5.1417,0.064,2019,6.15,OIL,Meji,Chevron,OFFSHORE,Medium,63.57,152568.0,222495.0,539,13,2,144763.09,2.54
Nigeria,5.7178,5.0046,0.048,2012,4.635,OIL,Tapa,Chevron,OFFSHORE,Small,47.91,114983.99999999999,167685.0,539,13,2,,
Nigeria,5.8815,4.8344,0.149,2012,14.405,OIL,Parabe,Chevron,OFFSHORE,Medium,148.89,357335.99999999994,521115.0,539,13,2,,
Nigeria,5.9161,5.0162,0.075,2012,7.287,OIL,Opuekeba,Chevron,ONSHORE,Medium,75.31,180744.0,263585.0,539,13,1,,
Nigeria,5.7386,4.7259,0.059,2012,5.703,OIL,Opolo,Chevron,OFFSHORE,Medium,58.94,141456.0,206290.0,539,13,2,,
Nigeria,5.538,5.0915,0.025,2012,2.386,OIL,Okan,Chevron,OFFSHORE,Small,24.66,59184.0,86310.0,539,13,2,,
Nigeria,5.5742,5.0588,0.033,2012,3.206,OIL,Okan,Chevron,OFFSHORE,Small,33.14,79536.0,115990.0,539,13,2,,
Nigeria,5.5597,5.0726,0.134,2012,12.943,OIL,Okan,Chevron,OFFSHORE,Medium,133.78,321072.0,468230.0,539,13,2,,
Nigeria,4.3673,5.7916,0.009,2012,0.824,OIL,North Apoi,Chevron,OFFSHORE,Small,8.52,20448.0,29820.0,539,13,2,,
Nigeria,5.7588,4.9238,0.038,2012,3.659,OIL,Meren,Chevron,OFFSHORE,Small,37.82,90768.0,132370.0,539,13,2,,
Nigeria,5.7774,4.889,0.035,2012,3.36,OIL,Meren,Chevron,OFFSHORE,Small,34.73,83351.999999999985,121555.0,539,13,2,,
Nigeria,5.4364,5.1404,0.069,2012,6.701,OIL,Meji,Chevron,OFFSHORE,Medium,69.26,166224.0,242410.0,539,13,2,,
Nigeria,5.9149,4.8796,0.01656,2024,1.602,OIL,Isan West,Chevron,OFFSHORE,Small,16.56,39744.0,57959.999999999993,539,13,2,147624.76,2.29
Nigeria,5.834,5.2578,0.01629,2024,1.576,OIL,Escravos oil pipeline system,Chevron,ONSHORE,Small,16.29,39096.0,57015.0,539,13,1,147624.76,2.29
Nigeria,5.7743,4.8903,0.08,2019,7.768,OIL,Meren,Chevron,OFFSHORE,Medium,80.28,192672.0,280980.0,539,13,2,144763.09,2.54
Nigeria,4.367,5.7914,0.01,2019,0.954,OIL,North Apoi,Chevron,OFFSHORE,Small,9.86,23664.0,34510.0,539,13,2,144763.09,2.54
Nigeria,5.9683,4.9308,0.011,2019,1.055,OIL,Ojumole,Chevron,ONSHORE,Small,10.9,26160.0,38150.0,539,13,1,144763.09,2.54
Nigeria,5.5594,5.0727,0.068,2019,6.532,OIL,Okan,Chevron,OFFSHORE,Medium,67.51,162024.0,236285.0,539,13,2,144763.09,2.54
Nigeria,5.8283,4.7971,0.03,2012,2.95,OIL,Malu,Chevron,OFFSHORE,Small,30.5,73200.0,106750.0,539,13,2,,
Nigeria,5.784,5.4284,0.065,2012,6.276,OIL,Makaraba,Chevron,ONSHORE,Medium,64.86,155664.0,227010.0,539,13,1,,
Nigeria,4.3267,5.8215,0.086,2012,8.363,OIL,Funiwa,Chevron,OFFSHORE,Medium,86.43,207432.00000000003,302505.0,539,13,2,,
Nigeria,5.8701,4.9396,0.082,2012,7.941,OIL,Ewan,Chevron,OFFSHORE,Medium,82.07,196967.99999999997,287245.0,539,13,2,,
Nigeria,5.8172,5.2008,0.127,2012,12.287,OIL,Dibi,Chevron,ONSHORE,Medium,127.0,304800.0,444500.0,539,13,1,,
Nigeria,5.6006,5.109,0.059,2012,5.74,OIL,Delta South,Chevron,OFFSHORE,Medium,59.32,142368.0,207620.0,539,13,2,,
Nigeria,5.5375,5.0919,0.021,2019,2.018,OIL,Okan,Chevron,OFFSHORE,Small,20.86,50064.0,73010.0,539,13,2,144763.09,2.54
Nigeria,5.5741,5.059,0.02,2019,1.933,OIL,Okan,Chevron,OFFSHORE,Small,19.98,47952.0,69930.0,539,13,2,144763.09,2.54
Nigeria,5.709,5.337,0.0,2021,0.036,OIL,Utonana,Chevron,OFFSHORE,Small,0.37,888.0,1295.0,539,13,2,141325.15,1.51
Nigeria,5.5378,5.092,0.011,2023,1.032,OIL,Okan,Chevron,OFFSHORE,Small,10.67,25608.0,37345.0,539,13,2,138548.47,6.55
Nigeria,5.8819,4.8349,0.008,2016,0.733,OIL,Parabe,Chevron,OFFSHORE,Small,7.57,18168.0,26495.0,539,13,2,147154.2,-3.97
Nigeria,5.7383,4.7263,0.022,2016,2.137,OIL,Opolo,Chevron,OFFSHORE,Small,22.09,53016.0,77315.0,539,13,2,147154.2,-3.97
Nigeria,5.5742,5.0587,0.018,2016,1.718,OIL,Okan,Chevron,OFFSHORE,Small,17.76,42624.000000000007,62160.0,539,13,2,147154.2,-3.97
Nigeria,5.5375,5.0916,0.019,2016,1.857,OIL,Okan,Chevron,OFFSHORE,Small,19.2,46080.0,67200.0,539,13,2,147154.2,-3.97
Nigeria,5.5596,5.0725,0.069,2016,6.639,OIL,Okan,Chevron,OFFSHORE,Medium,68.61,164664.0,240135.0,539,13,2,147154.2,-3.97
Nigeria,5.7738,4.8894,0.086,2016,8.356,OIL,Meren,Chevron,OFFSHORE,Medium,86.36,207264.0,302260.0,539,13,2,147154.2,-3.97
Nigeria,5.686,5.0533,0.133,2012,12.877,OIL,Delta,Chevron,OFFSHORE,Medium,133.09,319416.0,465815.0,539,13,2,,
Nigeria,5.8608,5.1331,0.112,2012,10.813,OIL,Benin River,Chevron,ONSHORE,Medium,111.76,268224.0,391160.0,539,13,1,,
Nigeria,3.4659,5.5612,0.101,2012,9.726,OIL,Agbami-Ekoli (OML 127),Chevron,OFFSHORE,Medium,100.53,241272.0,351855.0,539,13,2,,
